Sector,AMC,Fund,Category,Inception Date,Offer,Repurchase,NAV,Validity Date,Front-end,Back-end,Contingent,Market,Trustee
Open-End Funds,786 Investments Limited,786 Islamic Money Market Fund,Shariah Compliant Money Market,"Oct 22, 2024",107.7586,106.6917,106.6917,"Mar 02, 2026",0,0,0,0.00000,DCC
Open-End Funds,786 Investments Limited,786 Smart Fund,Shariah Compliant Income,"May 20, 2003",90.3811,89.4862,89.4862,"Mar 02, 2026",0,0,0,0.00000,CDC
Voluntary Pension Scheme (VPS),ABL Asset Management Company Limited,ABL Islamic Pension Fund,VPS-Shariah Compliant Debt,"Aug 20, 2014",231.7324,223.9393,223.9393,"Mar 02, 2026",0,0,0,0.00000,CDC
Voluntary Pension Scheme (VPS),ABL Asset Management Company Limited,ABL Islamic Pension Fund,VPS-Shariah Compliant Equity,"Aug 20, 2014",541.0839,522.8874,522.8874,"Mar 02, 2026",0,0,0,0.00000,CDC
Employer Pension Funds,ABL Asset Management Company Limited,ABL GOKP Islamic Pension Fund,VPS-Shariah Compliant Money Market,"Apr 23, 2024",0.0000,120.9050,120.9050,"Mar 02, 2026",0,0,0,0.00000,CDC
Employer Pension Funds,ABL Asset Management Company Limited,ABL GOPB Islamic Pension Fund,VPS-Shariah Compliant Money Market,"Nov 26, 2025",0.0000,101.5587,101.5587,"Mar 02, 2026",0,0,0,0.00000,CDC
Voluntary Pension Scheme (VPS),ABL Asset Management Company Limited,ABL Islamic Pension Fund,VPS-Shariah Compliant Money Market,"Aug 20, 2014",234.9915,227.0888,227.0888,"Mar 02, 2026",0,0,0,0.00000,CDC
Voluntary Pension Scheme (VPS),ABL Asset Management Company Limited,ABL Pension Fund,VPS-Debt,"Aug 20, 2014",378.1718,365.4540,365.4540,"Mar 02, 2026",0,0,0,0.00000,CDC
Voluntary Pension Scheme (VPS),ABL Asset Management Company Limited,ABL Pension Fund,VPS-Equity,"Aug 20, 2014",598.1039,577.9899,577.9899,"Mar 02, 2026",0,0,0,0.00000,CDC
Employer Pension Funds,ABL Asset Management Company Limited,ABL GOKP Pension Fund,VPS-Money Market,"Apr 23, 2024",0.0000,127.7355,127.7355,"Mar 02, 2026",0,0,0,0.00000,CDC
Employer Pension Funds,ABL Asset Management Company Limited,ABL GOPB Pension Fund,VPS-Money Market,"Nov 26, 2025",0.0000,102.4869,102.4869,"Mar 02, 2026",0,0,0,0.00000,CDC
Voluntary Pension Scheme (VPS),ABL Asset Management Company Limited,ABL Pension Fund,VPS-Money Market,"Aug 20, 2014",288.4718,278.7706,278.7706,"Mar 02, 2026",0,0,0,0.00000,CDC
Open-End Funds,ABL Asset Management Company Limited,ABL Cash Fund,Money Market,"Jul 31, 2010",11.0414,10.9462,10.9462,"Mar 03, 2026",1,2,1,0.00000,CDC
Open-End Funds,ABL Asset Management Company Limited,ABL Financial Planning Fund (Conservative Plan),Fund of Funds,"Dec 31, 2015",122.5638,119.7848,119.7848,"Mar 01, 2026",0,0,0,0.00000,DCC
Open-End Funds,ABL Asset Management Company Limited,ABL Financial Planning Fund (Strategic Allocation Plan),Fund of Funds,"Dec 30, 2016",0.0000,99.7448,99.7448,"Mar 01, 2026",0,0,0,0.00000,DCC
Open-End Funds,ABL Asset Management Company Limited,ABL Financial Sector Fund Plan I,Income,"Aug 01, 2023",10.9528,10.7045,10.7045,"Mar 02, 2026",0,0,0,0.00000,
Open-End Funds,ABL Asset Management Company Limited,ABL Fixed Rate Plan XIX,Fixed Rate / Return,"Jun 24, 2025",0.0000,10.7155,10.7155,"Mar 02, 2026",0,0,0,0.00000,CDC
Open-End Funds,ABL Asset Management Company Limited,ABL Fixed Rate Plan XXI,Fixed Rate / Return,"Nov 12, 2025",0.0000,10.2655,10.2655,"Feb 10, 2026",0,0,0,0.00000,CDC
Open-End Funds,ABL Asset Management Company Limited,ABL Fixed Rate Plan XXII,Fixed Rate / Return,"Dec 03, 2025",0.0000,10.2755,10.2755,"Mar 02, 2026",0,0,0,0.00000,CDC
Open-End Funds,ABL Asset Management Company Limited,ABL Fixed Rate Plan XXIII,Fixed Rate / Return,"Dec 10, 2025",0.0000,10.2516,10.2516,"Mar 02, 2026",0,0,0,0.00000,CDC
